id	english_technical_name	arabic_technical_name	arabic_layperson_synonym	arabic_definition
HP:6001389	Intrauterine amputation	بتر داخل الرحم	بتر خلقي	شذوذ نمائي يتميز بغياب جزئي أو كامل لطرف أو أصبع عند الولادة نتيجة لوقف التطور الطبيعي للطرف داخل الرحم.
HP:6001390	Intrauterine digital amputation	بتر إصبع داخل الرحم	فقدان إصبع أثناء الحمل	شذوذ نمائي يتميز بفقدان جزئي أو كامل لإصبع أو أصبع القدم عند الولادة نتيجة لوقف التطور الطبيعي داخل الرحم.
HP:0009820	Lower limb peromelia	بروميليا الأطراف السفلية	فقدان الأطراف السفلية	بروميليا تؤثر فقط على الأطراف السفلية، حيث تفتقد الأجزاء البعيدة من الساق مما يؤدي إلى تكوين ناتئ.
HP:0009821	Forearm undergrowth	نقص نمو الساعد	قصر عظام الساعد	قصر الساعد بسبب نقص تطور عظمة أو أكثر من عظام الساعد.
HP:0009824	Upper limb undergrowth	نقص نمو الأطراف العليا	قصر الذراعين	قصر في الذراع بسبب نقص تطور عظمة أو أكثر من عظام الأطراف العليا.
HP:0009826	Limb undergrowth	نقص نمو الأطراف	قصر الأطراف	قصر الأطراف بسبب نقص تطور عظمة أو أكثر من عظام الأطراف.
HP:0009827	Amelia	الاميليا	غياب الأطراف	الغياب الخلقي (نقص التنسج) لطرف أو أكثر.
HP:0009828	Peromelia	البيروميليا	فقدان الأطراف البعيدة	الأجزاء البعيدة من الأطراف مفقودة مما يؤدي إلى تكوين ناتئ.
HP:0009829	Phocomelia	الفوكوميليا	شذوذ في الأطراف	فقدان أو تشوه في العظام الطويلة للأطراف حيث تكون الأجزاء البعيدة (مثل اليدين أو القدمين) متصلة بأطراف قصيرة بشكل متفاوت أو حتى غائبة، مما يؤدي إلى مظهر يشبه الزعانف، على عكس الأشكال الأخرى من تشوهات الأطراف حيث يكون الطرف بأكمله غائباً (مثل الاميليا)، أو يكون الجزء البعيد من الطرف غائباً (مثل البيروميليا).
HP:6001391	Intrauterine limb amputation	بتر الأطراف داخل الرحم	فقدان طرف أثناء الحمل	تشوه تطوري يتميز بانعدام جزئي أو كلي لذراع أو ساق عند الولادة، نتيجة انقطاع النمو الطبيعي داخل الرحم.
HP:6001392	Proximal interphalangeal joint arthritis	التهاب المفصل السلامي القريب	التهاب مفاصل الأصابع	التهاب وتدهور في مفاصل السلامية القريبة (PIP). يمكن تصوير التهاب المفصل السلامي القريب بالأشعة السينية كتمييز بفقدان مساحة المفصل، وتكون أكياس تحت الغضروف، وزيادة العظام.
HP:6001393	Dorsal intercalated segment instability	عدم استقرار القطاع المتداخل الظهري	عدم استقرار الرسغ	شكل غير تفكيكي من عدم استقرار العظمي الرسغي، حيث يميل العظمة الهلالية إلى الجانب الظهري من اليد.
HP:6001394	Disruption of carpal arcs	تقطع أقواس الرسغ	عدم انتظام عظام الرسغ	تستخدم أقواس جيلولا في تصوير الأشعة السينية الأمامية والخلفية للمعصم كجزء من تقييم المحاذاة الطبيعية للكاربوس. يحدد القوس الأول (الأحمر) السطوح القريبة ويحدد القوس الثاني (الأصفر) السطوح البعيدة للعظمة الزورقية والعظمة الهلالية والمثلثية. ويحدد القوس الثالث (الأبيض) السطوح القريبة للعظمتين الرأسيانية والكروية. تقطع أقواس الرسغ (أي تظهر الأقواس مكسورة أو غير متصلة في الصور الشعاعية) يشير إلى كسر أو إصابة في الأربطة في الرسغ.
HP:6001395	Spilled teacup sign of the wrist	إشارة كوب الشاي المراق في الرسغ	خلع عظمة الهلالية	خلع العظمة الهلالية، عادة نتيجة لصدمة. يقال إن إزاحة الهلالية للأمام تسبب المظهر المراق لكوب الشاي.
HP:6001396	Positive Finkelstein sign	إشارة فينكلستاين الإيجابية	اختبار فينكلستاين التحسسي	يؤدي اختبار فينكلستاين إلى إظهار حساسية شديدة وألم عادة في الجانب النصفي من الرسغ عند طي الإبهام إلى داخل الكف وتحويل الرسغ جهة النصفي.
HP:6001397	Forefoot abduction	انحراف قدم الأمامي	انحناء القدم الأمامي	انحراف خارجي أو استدارة الجزء الأمامي من القدم بعيدًا عن خط الوسط للجسم. يظهر التصوير بالأشعة السينية للقدم زيادة في زاوية سيمون (الزاوية بين العظمة العقبية والعظم المشط الأول، العادي هو 7 درجات زائد أو ناقص 4 إلى 5 درجات) أو زيادة كشف الجسر العظمي الأمامي بأكثر من 30 إلى 40 في المئة. من الملاحظات السريرية الشائعة ظهور علامة الأصابع الكثيرة؛ عند النظر من الخلف، ستظهر أكثر من إصبعين ممتدين للخارج بشكل جانبي بسبب انحراف القدم بشكل عمودي.
HP:6001398	Posterior tibial tendon injury	إصابة وتر الظنبوب الخلفي	إصابة وتر الكاحل	ضرر يصيب وتر الظنبوب الخلفي، الذي يمتد على طول الجهة الداخلية للكاحل والقدم، داعمًا لقوس القدم. يظهر التصوير بالرنين المغناطيسي أو الموجات فوق الصوتية للكاحل/القدم تغيرات في وتر الظنبوب الخلفي مثل تنكّس الوتر، التهاب الغشاء الزلالي، وذمة حول الوتر، أو تمزق الوتر.
HP:6001399	Plantar pain	ألم بطن القدم	ألم أسفل القدم	إحساس غير مريح يتميز بعدم الراحة جسدياً (مثل الوخز أو النبض أو الألم) محلياً عند الضغط على منطقة بطن القدم (النعل).
HP:6001400	Flexor hallucis longus tendon injury	إصابة وتر العضلة المثنية الكبرى للقدم	إصابة وتر إصبع القدم الكبير	ضرر في وتر العضلة المثنية الكبرى (FHL). يعتبر وتر العضلة المثنية الكبرى وتراً طويلاً يمتد من عضل الربلة العميق عبر الكاحل إلى إصبع القدم الكبير، مما يتيح ثني الإصبع ودعم ميكانيكيات القدم. يظهر التصوير بالرنين المغناطيسي أو الموجات فوق الصوتية للكاحل/القدم تغييرات تنكسية لوتر العضلة المثنية الكبرى مثل السوائل حول الوتر عند مستوى مفصل الكاحل، وتشير داخل النسيج الوتر، وزيادة سمك الوتر، التهاب الوترية، أو التهاب غشاء الوتر، أو تمزق الوتر.
HP:6001401	Hallux pain	ألم إبهام القدم	ألم في إصبع القدم الكبير	إحساس غير سار يتميز بعدم الارتياح الجسدي (مثل الوخز أو النبض أو الألم) يقع في إبهام القدم.
HP:6001402	Pain on the medial aspect of the foot	ألم في الجانب الوسطي من القدم	ألم في الجانب قرب إصبع القدم الكبير	إحساس غير سار يتميز بعدم الارتياح الجسدي (مثل الوخز أو النبض أو الألم) يقع في جانب القدم الأقرب إلى إبهام القدم.
HP:6001403	Hallux sesamoid injury	إصابة في عظام السمسم لإبهام القدم	إصابة عظام إصبع القدم الكبير	تلف يصيب واحدة أو كلتا العظمتين الصغيرتين، الشكل البازيلاوي (السمسمية) المتضمنة في الأوتار تحت المفصل المشط الأول لإبهام القدم. يُظهر التصوير بالأشعة للقدم كسراً أو خلعاً جزئياً أو كلياً لعظم السمسم لإبهام القدم.
HP:6001404	Radial wrist pain	ألم في معصم اليد الجانبي	ألم في جانب معصم اليد الأقرب للإبهام	إحساس غير سار يتميز بعدم الارتياح الجسدي (مثل الوخز أو النبض أو الألم) يقع في الجانب الجانبي من المعصم.
HP:6001405	Volar wrist pain	ألم في معصم اليد الراحي	ألم في الجانب الأمامي لمعصم اليد	إحساس غير سار يتميز بعدم الارتياح الجسدي (مثل الوخز أو النبض أو الألم) يقع في الجانب الراحي للمعصم (أي، على الجانب الأمامي - الراحي - للمعصم).
HP:6001406	Dorsal wrist pain	ألم في معصم اليد الظهري	ألم في الجانب الخلفي لمعصم اليد	إحساس غير سار يتميز بعدم الارتياح الجسدي (مثل الوخز أو النبض أو الألم) يقع في الجانب الظهري (الخلفي) من المعصم.
HP:6001407	Peroneal tendon tenderness	حنان في وتر العصب الشظوي	ألم عند لمس وتَر العصب الشظوي	ألم يستثار عند تحسس مسار الأوتار الشظوية، الموجودة وراء الكعب الجانبي وتمتد نحو قاعدة مشط القدم الخامس.
HP:6001408	Peroneal tendon subluxation	خلع جزئي لوتر العصب الشظوي	انزلاق وتر العصب الشظوي	يظهر التصوير بالأشعة فوق الصوتية الديناميكي للكاحل الجانبي خلعًا جزئيًا أو كليًا لأحد أو كلا الأوتار الشظوية خارج الأخدود الشظوي.
HP:6001409	Peroneal tendon injury	إصابة وتر العصب الشظوي	إصابة في وتر العصب الشظوي	يظهر التصوير بالرنين المغناطيسي أو بالموجات فوق الصوتية للكاحل وذمة أو سماكة في الأوتار الشظوية، سائل داخل غمد وتر العصب الشظوي، أو تمزق جزئي أو كامل في واحد أو كلا الأوتار الشظوية.
HP:6001410	Elevated circulating succinylacetone concentration	ارتفاع تركيز السكسينيل أسيتون المتداول	ارتفاع سكسينيل أسيتون في الدم	تركيز السكسينيل أسيتون في الدورة الدموية أعلى من الحد الأقصى الطبيعي.
HP:0009830	Peripheral neuropathy	اعتلال عصبي محيطي	اعتلال الأعصاب الطرفية	الاعتلال العصبي المحيطي هو مصطلح شامل لأي اضطراب في الجهاز العصبي المحيطي. تشمل السمات السريرية الرئيسية المستخدمة لتصنيف الاعتلال العصبي المحيطي التوزيع والنوع (خاصة الاعتلال الميليني مقابل المحور العصبي) والمدة والمسار.
HP:0009831	Mononeuropathy	اعتلال عصبي أحادي	تلف عصب واحد	إصابة بؤرية لعصب محيطي واحد. يكون التلف في العصب الحسي مصحوبًا بضعف حسي في جميع الأنماط في التوزيع التشريحي المصاب.
HP:0009836	Broad distal phalanx of finger	السلامى البعيدة العريضة للإصبع	عظام الإصبع الطرفية العريضة	سلامى الإصبع البعيدة غير طبيعية وعريضة.
HP:0009837	Bullet-shaped distal phalanges of the hand	السلامى البعيدة بشكل الرصاصة لليد	عظام الإصبع الطرفية بشكل الرصاصة	السلامى البعيدة القصيرة والعريضة التي تتناقص باتجاه النهاية. السلامى بشكل الرصاصة تفتقر إلى التضييق الطبيعي في منتصف العظم.
HP:0009838	Curved distal phalanges of the hand	السلامى البعيدة المنحنية لليد	عظام الإصبع الطرفية المنحنية	تشوه تكون فيه السلامى البعيدة اليمنى أو اليسرى منحنية.
HP:0009839	Osteolytic defects of the distal phalanges of the hand	عيوب تحليلية في السلامى البعيدة لليد	تآكل العظام الطرفية لليد	تتضمن العيوب التحليلية تآكل العظام السلامى البعيدة لليد.
HP:6001411	Flat palate	القبة المستوية	القبة المسطحة	انخفاض ارتفاع قبة الحنك. يُعتبر القبة مسطحة عندما تكون زاوية مؤشر القبة أقل من 30 درجة، والقبة الطبيعية تتراوح الزاوية فيها بين 30 و45 درجة، والقبة الحادة بزاوية تزيد عن 45 درجة.
HP:6001412	Elevated circulating C-terminal telopeptide cross-link of type1 collagen concentration	تركيز مرتفع للترابط النهائي لقطع الكولاجين من النوع الأول في الدورة الدموية	زيادة في الكولاجين بالدم	تركيز الترابط النهائي لقطع الكولاجين من النوع الأول في الدورة الدموية يزيد عن الحد الأعلى الطبيعي.
HP:6001413	Exacerbated by pulmonary vasodilator exposure	سوء الحالة بسبب التعرض لموسعات الأوعية الرئوية	سوء الحالة عند استخدام أدوية الرئة	ينطبق على الأعراض أو العلامات التي تتفاقم عند استخدام موسعات الأوعية الرئوية مثل نظائر البروستاسيكلين، ومضادات مستقبلات الإندوثلين، ومثبطات فوسفودايسترياز-5.
HP:6001414	Mercury exposure	التعرض للزئبق	التعرض للزئبق	تاريخ من التعرض للزئبق.
HP:6001415	Urinoma	اليورينوما	تجمع البول حول الكلية	تجمعات مغلفة من البول حول الكلى في المنطقة خلف البريتون، غالبًا في الفضاء المحيط بالكلى، نتيجة تسرب الجهاز البولي الناجم عن انسداد البول، أو الصدمات، أو ما بعد أدوات الجراحة.
HP:6001416	Umbilical discharge	إفراز السرة	سائل يخرج من السرة	تسرب سائل غير طبيعي من السرة (من الجروح، أو مواقع الجراحة، أو الناسور).
HP:6000490	Impaired heel-walking ability	قصور القدرة على المشي بالكعب	صعوبة المشي بالكعب	صعوبة أو قدرة منخفضة على المشي بالكعب. يمكن اختبار المشي بالكعب كجزء من الفحص العصبي. يؤدي ضعف التمديد الظهري للقدم إلى صعوبات في المشي بالكعب.
HP:6000491	Anti-prothrombin antibody positivity	إيجابية الأجسام المضادة ضد البروثرومبين	وجود أجسام مضادة للبروثرومبين	وجود أجسام مضادة ذاتية (الغلوبولينات المناعية) في المصل تتفاعل ضد البروثرومبين.
HP:6000492	Anti-factor V antibody positivity	إيجابية الأجسام المضادة ضد العامل الخامس	وجود أجسام مضادة للعامل الخامس	وجود أجسام مضادة ذاتية (الغلوبولينات المناعية) في الدورة الدموية تتفاعل ضد العامل الخامس.
HP:6000493	Anti-factor VII antibody positivity	إيجابية الأجسام المضادة للمضاد لعامل التخثر السابع	وجود أجسام مضادة لعامل التخثر السابع	وجود أجسام مضادة ذاتية (الجلوبيولين المناعي) في المصل تتفاعل ضد عامل التخثر السابع.
HP:6000494	Anti-factor VIII antibody positivity	إيجابية الأجسام المضادة للمضاد لعامل التخثر الثامن	وجود أجسام مضادة لعامل التخثر الثامن	وجود أجسام مضادة ذاتية (الجلوبيولين المناعي) في المصل تتفاعل ضد عامل التخثر الثامن.
HP:6000495	Anti-factor IX antibody positivity	إيجابية الأجسام المضادة للمضاد لعامل التخثر التاسع	وجود أجسام مضادة لعامل التخثر التاسع	وجود أجسام مضادة ذاتية (الجلوبيولين المناعي) في المصل تتفاعل ضد عامل التخثر التاسع.
HP:6000496	Anti-factor X antibody positivity	إيجابية الأجسام المضادة للمضاد لعامل التخثر العاشر	وجود أجسام مضادة لعامل التخثر العاشر	وجود أجسام مضادة في الدورة الدموية موجهة ضد عامل التخثر العاشر.
HP:6000497	Anti-factor XI antibody positivity	إيجابية الأجسام المضادة للمضاد لعامل التخثر الحادي عشر	وجود أجسام مضادة لعامل التخثر الحادي عشر	وجود أجسام مضادة في الدورة الدموية موجهة ضد عامل التخثر الحادي عشر.
HP:6000498	Anti-factor XIII antibody positivity	إيجابية الأجسام المضادة للمضاد لعامل التخثر الثالث عشر	وجود أجسام مضادة لعامل التخثر الثالث عشر	وجود أجسام مضادة في الدورة الدموية موجهة ضد عامل التخثر الثالث عشر.
HP:6000499	Anti-factor H antibody positivity	إيجابية الأجسام المضادة للمضاد لعامل التخثر H	وجود أجسام مضادة لعامل التخثر H	وجود أجسام مضادة في الدورة الدموية موجهة ضد عامل التخثر H.
HP:6000500	Extremities cold to touch	الشعور ببرودة الأطراف عند اللمس	برودة اليدين والقدمين	برودة أو برودة الأطراف نتيجة تضييق الأوعية الدموية الطرفية، وهو تضييق الأوعية الدموية الناتج عن انقباض الجدران العضلية في الشرايين الكبيرة والشرايين الصغيرة في الجلد ومعظم الأعضاء الداخلية. عند التعرض لدرجات حرارة منخفضة، يقلل تضييق الأوعية من تبدد الحرارة من سطح الجلد، وبالتالي يمنع انخفاض الحرارة المهدد للحياة.
HP:6000501	Ruffled acrosome	أكروسوم مموج	شكل غير طبيعي في مقدمة الحيوانات المنوية	ظهور غير منتظم ومموج لأكروزومات الحيوانات المنوية.
HP:6000502	Elevated circulating calprotectin concentration	ارتفاع تركيز كالبركتين في الدورة الدموية	زيادة كالبركتين في الدم	تركيز كالبركتين في الدورة الدموية أعلى من الحد العلوي الطبيعي.
HP:0009852	Broad proximal phalanges of the hand	عظام سلاميات اليد القريبة العريضة	سلاميات اليد القريبة العريضة	زيادة في عرض سلاميات الأصابع القريبة.
HP:0009853	Bullet-shaped proximal phalanges of the hand	سلاميات اليد القريبة ذات شكل الرصاصة	سلاميات اليد القريبة على شكل رصاصة	سلاميات قريبة قصيرة وعريضة تتناقص نحو النهاية، تفتقر إلى التضييق النموذجي في الجسم العظمي.
HP:0009525	Bracket epiphysis of the proximal phalanx of the 2nd finger	مشاشة قوسية في السلامية القريبة للإصبع الثاني	مشاشة بشكل قوس في نهاية العظمة القريبة للإصبع الثاني	هو شذوذ في السلامية القريبة للإصبع الثاني حيث تحيط المشاشة بالعظمة بشكل يشبه القوس ويمتد من الجانب القريب إلى الجانب البعيد.
HP:0009526	Cone-shaped epiphysis of the proximal phalanx of the 2nd finger	مشاشة مخروطية في السلامية القريبة للإصبع الثاني	نهاية مخروطية للعظمة القريبة للإصبع الثاني	تشير إلى أن شكل المشاشة في نهاية السلامية القريبة للإصبع الثاني يكون مخروطي الشكل.
HP:0009527	Enlarged epiphysis of the proximal phalanx of the 2nd finger	تضخم في مشاشة السلامية القريبة للإصبع الثاني	تضخم في نهاية العظمة القريبة للإصبع الثاني	تعني أن المشاشة في السلامية القريبة للإصبع الثاني يصبح لديها حجم أكبر من المعتاد.
HP:0009528	Fragmentation of the epiphysis of the proximal phalanx of the 2nd finger	تجزؤ في مشاشة السلامية القريبة للإصبع الثاني	تجزؤ في نهاية العظمة القريبة للإصبع الثاني	تشير إلى تكسرات أو تجزؤ في المشاشة في نهاية السلامية القريبة للإصبع الثاني.
HP:0009529	Irregular epiphysis of the proximal phalanx of the 2nd finger	مشاشة غير منتظمة في السلامية القريبة للإصبع الثاني	نهاية غير منتظمة للعظمة القريبة للإصبع الثاني	تعني عدم انتظام شكل المشاشة في نهاية السلامية القريبة للإصبع الثاني.
HP:0009530	Ivory epiphysis of the proximal phalanx of the 2nd finger	مشاشة عاجية في السلامية القريبة للإصبع الثاني	زيادة كثافة العظم في نهاية العظمة القريبة للإصبع الثاني	وجود كثافة زائدة في العظم في مشاشة السلامية القريبة للإصبع الثاني وينتج عن ذلك ظهورها بلون أبيض شبيه بالعاج.
HP:0009531	Pseudoepiphysis of the proximal phalanx of the 2nd finger	مشاشة كاذبة في السلامية القريبة للإصبع الثاني	مشاشة كاذبة في السلامية القريبة للإصبع الثاني	وجود مركز عظمي ثانوي في السلامية القريبة للإصبع الثاني يختلف عن المشاشة الطبيعية ولا يساهم في النمو الطولي للعظم الأنبوب.
HP:0009532	Small epiphysis of the proximal phalanx of the 2nd finger	مشاشة صغيرة في السلامية القريبة للإصبع الثاني	نهاية صغيرة للعظمة القريبة للإصبع الثاني	تشير إلى حجم المشاشة في نهاية السلامية القريبة للإصبع الثاني الذي يكون أصغر من المعتاد.
HP:0009840	Patchy sclerosis of distal phalanx of finger	تصلب متفاوت في سلامية الإصبع البعيدة	زيادة غير متساوية في كثافة العظام في عظم الإصبع الخارجي	زيادة غير متساوية (غير منتظمة) في كثافة العظام في السلاميات البعيدة لليد.
HP:0009844	Broad middle phalanx of finger	اتساع السلامية الوسطى للإصبع	اتساع عظام الإصبع الوسطى	زيادة في عرض السلامية الوسطى للإصبع.
HP:0009845	Bullet-shaped middle phalanges of the hand	سلاميات اليد ذات شكل الرصاصة	عظام الإصبع الوسطى عريضة وقصيرة	أي من السلاميات الوسطى التي تكون قصيرة وعريضة وتضيق في النهاية. السلاميات ذات شكل الرصاصة تفتقر إلى التضيّق المركزي الطبيعي.
HP:0009846	Curved middle phalanges of the hand	السلاميات الوسطى المقوسة لليد	عظام الإصبع الوسطى المقوسة في اليد	السلاميات الوسطى لليد التي تكون مُنحنية أو مُقوسة.
HP:0009847	Osteolytic defects of the middle phalanges of the hand	عيوب تآكلية في السلاميات الوسطى لليد	عيوب تآكلية في عظام الإصبع الوسطى	وجود عيوب تتعلق بفقدان المادة العظمية في السلاميات الوسطى لليد.
HP:0009848	Patchy sclerosis of middle phalanx of finger	تصلب متفاوت في السلامية الوسطى للإصبع	زيادة غير متساوية في كثافة العظام في عظام الإصبع الوسطى	زيادة غير متساوية (غير منتظمة) في كثافة العظام في واحدة أو أكثر من السلاميات الوسطى لليد.
HP:0009849	Symphalangism of middle phalanx of finger	السيمفالجزم في السلامية الوسطى للإصبع	دمج عظمة الإصبع الوسطى	دمج السلامية الوسطى للإصبع مع عظمه أخرى.
HP:0009850	Triangular shaped middle phalanges of the hand	السلاميات الوسطى المثلثة الشكل لليد	عظام الإصبع الوسطى المثلثة الشكل	السلاميات الوسطى لليد التي تكون ذات شكل مثلث.
HP:6000503	4-5 toe cutaneous syndactyly	التعاون الجلدي بين إصبعين 4 و5 في القدم	التحام الجلد بين أصبعين القدم الرابع والخامس	هو استمرار النسيج الرخو في المحور الأمامي الخلفي بين أصبعي القدم 4 و5.
HP:6000504	Poly-hill sign	علامة التلال المتعددة	فحص عضلات الظهر والكتف	هو فحص بدني نموذجي لمرضى الحثل العضلي وضعف وضمور انتقائي لعضلة شبه المنحرف والعضلة الدالية القريبة. يظهر للمريض شكل ظهر فريد من التلال والانخفاضات.
HP:6000505	3-5 finger cutaneous syndactyly	التعاون الجلدي بين الأصابع 3 و5 في اليد	التحام الجلد بين الأصابع الثالث والرابع والخامس في اليد	هو استمرار النسيج الرخو في المحور الأمامي الخلفي بين أصابع اليد الثالث إلى الخامس ويمتد إلى مستوى مفاصل السلاميات القريبة على الأقل.
HP:6000506	Radioulnar subluxation	تحت الخلع المِعصَمي الكُعبوري	جزء من خلع مفصل الكوع والمعصم	هو الخلع الجزئي في المفصل المعيصي الكعبوري.
HP:6000507	Non-pitting edema	وذمة غير منخسفة	انتفاخ لا يترك أثراً عند الضغط	تحدث الوذمة غير المنخسفة عندما يتجمع السائل الزائد في الجسم مما يؤدي إلى تورم لا يتسبب في وجود انطباع عند الضغط عليه. عادةً تحدث في الأطراف وغالبًا ما تنتج عن حالات طبية تؤثر على وظيفة الجهاز الليمفاوي.
HP:6000508	Anti-human ferritin peptide antibody positivity	الإيجابية لأجسام مضادة لببتيد الفيريتين البشري	وجود أجسام مضادة ضد الفيريتين	وجود الأجسام المضادة الذاتية (الغلوبولينات المناعية) في الدورة الدموية التي تتفاعل ضد ببتيد الفيريتين البشري.
HP:6000509	Elevated CSF L-2-hydroxyglutaric acid concentration	ارتفاع تركيز حمض الهيدروكسي غلوتاريك 2 في السائل الدماغي الشوكي	زيادة حمض محدد في سائل النخاع الشوكي	تركيز حمض الهيدروكسي غلوتاريك 2 في السائل الدماغي الشوكي يفوق الحد الأعلى للطبيعي.
HP:6000510	Elevated erythrocyte inosine triphosphate concentration	ارتفاع تركيز إينوزين ثلاثي الفوسفات في كريات الدم الحمراء	زيادة مادة معينة في كريات الدم	تركيز إنزيم إينوزين ثلاثي الفوسفات في خلايا الدم الحمراء يزيد عن الحد الأعلى للطبيعي.
HP:6000511	Reduced erythrocyte inosine triphosphatase activity	انخفاض نشاط إينوزين ثلاثي الفوسفاتاز في كريات الدم الحمراء	ضعف نشاط إنزيم معين في الدم	نشاط أو تركيز إنزيم إينوزين ثلاثي الفوسفات بيبروفسفوهيدرولاز (EC 3.6.1.19) في خلايا الدم الحمراء أقل من الحد الأدنى للطبيعي.
HP:6000512	Reduced circulating alpha-1,3-fucosyltransferase activity	انخفاض نشاط إنزيم ألفا-1,3-فوكوزيل ترانسفيراز في الدورة الدموية	ضعف نشاط إنزيم محدد في الدم	تركيز أو نشاط إنزيم ألفا-1,3-فوكوزيل ترانسفيراز أقل من الحد الأدنى للطبيعي في الدورة الدموية.
HP:0009533	Stippling of the epiphysis of the proximal phalanx of the 2nd finger	تنقيط في مشاشة السلامية القريبة للإصبع الثاني	ترسبات متفرقة في نهاية العظمة القريبة للإصبع الثاني	وجود نقاط صغيرة من ترسبات الكالسيوم في مشاشة السلامية القريبة للإصبع الثاني.
HP:0009534	Triangular epiphysis of the proximal phalanx of the 2nd finger	مشاشة مثلثة في السلامية القريبة من الإصبع الثاني	نهاية مثلثة للعظمة الداخلية للمؤشر	مصطلح يشير إلى المشاشة ذات الشكل المثلث الواقعة عند نهاية السلامية القريبة من الإصبع الثاني.
HP:0009536	Short 2nd finger	قصر الإصبع الثاني	قصر الإصبع الثاني	نقص التغذية في الإصبع الثاني والذي يعرف أيضًا باسم إصبع السبابة، مما يؤدي إلى صغر أو قصر هذا الإصبع.
HP:0009537	Flexion contracture of the 2nd finger	تقلص مرن للإصبع الثاني	تقلص مرن في الإصبع الثاني	فقدان مزمن لحركة المفصل في الإصبع الثاني نتيجة تغيرات هيكلية في الأنسجة الغير عظمية. يُستخدم مصطلح تقفع الكف للخنصر عندما تتأثر المفاصل الداخلية أو الخارجية للإصبع.
HP:0009538	Contracture of the distal interphalangeal joint of the 2nd finger	تقلص مفصل السلامية البعيد للإصبع الثاني	تقلص في مفصل الإصبع الثاني البعيد	فقدان مزمن لحركة المفصل البعيد السلامي للإصبع الثاني نتيجة تغيرات هيكلية في الأنسجة الغير عظمية.
HP:0009539	Contracture of the metacarpophalangeal joint of the 2nd finger	تقلص في المفصل السلامي المشطى للإصبع الثاني	تقلص في مفصل الإصبع الثاني	فقدان مزمن لحركة المفصل السلامي المشطى للإصبع الثاني نتيجة تغيرات هيكلية في الأنسجة الغير عظمية.
HP:0009540	Contracture of the proximal interphalangeal joint of the 2nd finger	تقلص مفصل السلامية القريب للإصبع الثاني	تقفع الكف للخنصر للإصبع الثاني	فقدان مزمن لحركة المفصل القريب السلامي للإصبع الثاني بسبب تغيرات هيكلية في الأنسجة الغير عظمية.
HP:6000513	Diminished neutrophil myeloperoxidase activity	نشاط ميويلوبيروكسيداز الخلايا المتعادلة المنخفض	نشاط الإنزيم في الخلايا المناعية منخفض	نشاط إنزيم الميويلوبيروكسيداز (EC 1.11.1.7) في الخلايا المتعادلة بأقل من الحد الأدنى الطبيعي. يمكن قياس هذه الخاصية بواسطة كيمياء السيتو الحمضية أو الاختبارات البيوكيميائية. يعتبر الميويلوبيروكسيداز بروتين هيموزومي موجود في الحبيبات الأزوروفيلية للخلايا البيضاء متعددة الأشكال والوحيدات.
HP:6000514	Reduced erythrocyte uroporphyrinogen III cosynthase activity	نشاط مخفض لانزيم اليوروبورفيرينوجين الثالث في الكريات الحمراء	نشاط الإنزيم في الكريات الحمراء منخفض	نشاط أو تركيز اليوروبورفيرينوجين الثالث (EC 4.2.1.75) في كريات الدم الحمراء بأقل من الحد الأدنى الطبيعي.
HP:6000515	Elevated 18-hydroxycorticosterone to aldosterone ratio	زيادة نسبة 18-هايدروكسي كورتيكوستيرون إلى الألدوستيرون	زيادة نسبة الكورتيزون في الدم	تركيز 18-هايدروكسي كورتيكوستيرون مقارنةً بالألدوستيرون في الدورة الدموية أعلى من الحد الأقصى الطبيعي.
HP:6000516	Elevated circulating 21-deoxycortisol concentration	زيادة تركيز 21-ديوكسي كورتيزول في الدم	زيادة الكورتيزول في الدم	تركيز 21-ديوكسي كورتيزول في الدورة الدموية أعلى من الحد الأقصى الطبيعي.
HP:6000517	Elevated monolysocardiolipin/cardiolipin ratio	زيادة نسبة المونولايسوكارديوليبين إلى الكارديوليبين	زيادة نسبة الدهون الفسفورية في الدم	تركيز المونولايسوكارديوليبين بالمقارنة مع الكارديوليبين أعلى من الحد الأقصى الطبيعي. يعتبر هذا تحليلاً وظيفياً يمكن إجراؤه من بقعة دم لتشخيص متلازمة بارث (OMIM: 302060).
HP:6000518	Low maternal vitamin B12 concentration	انخفاض تركيز فيتامين B12 في الدم لدى الأم	نقص فيتامين B12 عند الحامل	تركيز فيتامين B12 في دم الأم أثناء الحمل يكون أقل من الحد الأدنى الطبيعي.
HP:6000519	Elevated circulating inhibin A concentration	زيادة تركيز إينهيبين A في الدم	زيادة تركيز الإينهيبين في الدم	تركيز الإينهيبين A في الدورة الدموية أعلى من الحد الأقصى الطبيعي.
HP:6000520	Increased circulating inhibin B concentration	زيادة تركيز إينهيبين B في الدم	زيادة إينهيبين B في الدم	تركيز الإينهيبين B في الدورة الدموية أعلى من الحد الأقصى الطبيعي.
HP:6000521	Elevated circulating lipoprotein(a) concentration	زيادة تركيز البروتين الدهني(a) في الدم	ارتفاع البروتين الدهني في الدم	تركيز البروتين الدهني(a) في الدورة الدموية أعلى من الحد الأقصى الطبيعي. يُعرف البروتين الدهني(a) أيضاً باسم الأبوليبوبروتين(A)، ويُشفَّر عن طريق LPA (HGNC: 6667).
